data_id,source_id,age,production,birth_order,ethnicity,sex
51699,Marchman,27,497,Fourth,Hispanic,Female
51700,Marchman,21,369,Second,White,Female
51701,Marchman,26,190,Fourth,White,Female
51702,Marchman,27,264,Second,White,Male
51703,Marchman,19,159,Second,Other,Female
51704,Marchman,30,513,Second,Other,Female
51705,Marchman,25,444,Second,Other,Male
51706,Marchman,24,582,Second,White,Male
51707,Marchman,28,558,Second,Black,Female
51708,Marchman,18,7,Fourth,Other,Female
51709,Marchman,29,526,Second,Other,Female
51710,Marchman,26,190,Fifth,Other,Female
51711,Marchman,18,32,Fourth,Other,Male
51712,Marchman,24,126,Second,Hispanic,Male
51713,Marchman,28,199,Second,Other,Male
51714,Marchman,24,330,Second,Other,Male
51715,Marchman,26,181,Second,Other,Male
51716,Marchman,16,16,Third,Hispanic,Male
51717,Marchman,17,166,Sixth,White,Male
51718,Marchman,30,643,Third,Other,Male
51719,Marchman,19,143,Second,Black,Female
51720,Marchman,28,644,Second,White,Male
51721,Marchman,26,379,Second,Other,Male
51722,Marchman,29,462,Second,Other,Male
51723,Marchman,22,208,Third,Black,Female
51724,Marchman,23,251,Second,Hispanic,Female
51725,Marchman,29,569,Second,White,Female
51726,Marchman,24,514,First,Other,Male
51727,Marchman,25,672,Third,Other,Female
51728,Marchman,17,60,Third,White,Female
51729,Marchman,24,292,Third,Other,Female
51730,Marchman,25,234,Second,White,Female
51731,Marchman,24,181,Fourth,Other,Male
51732,Marchman,25,65,Second,Other,Male
51733,Marchman,16,57,Fifth,Other,Female
51734,Marchman,19,22,Second,Asian,Female
51735,Marchman,18,4,Eighth,Black,Male
51736,Marchman,17,8,Third,White,Male
51737,Marchman,18,47,Third,Hispanic,Male
51738,Marchman,19,27,Fourth,Black,Female
51739,Marchman,23,397,Fourth,Other,Female
51740,Marchman,16,25,Second,Black,Male
51741,Marchman,23,117,Second,Hispanic,Female
51742,Marchman,20,97,Second,Other,Female
51743,Marchman,28,215,Second,Hispanic,Male
51744,Marchman,22,323,Sixth,Black,Male
51745,Marchman,30,316,Second,Other,Male
51746,Marchman,25,141,Second,Hispanic,Female
51747,Marchman,23,237,Fourth,Other,Male
51748,Marchman,21,206,Third,Black,Male
51749,Marchman,23,91,Fourth,Other,Female
51750,Marchman,24,266,Third,Hispanic,Female
51751,Marchman,23,66,Second,Hispanic,Female
51752,Marchman,19,72,Second,Hispanic,Female
51753,Marchman,27,183,Second,Other,Male
51754,Marchman,28,212,Second,Hispanic,Male
51755,Marchman,28,226,Second,Hispanic,Female
51756,Marchman,27,289,Second,Black,Female
51757,Marchman,17,39,Fifth,Hispanic,Female
51758,Marchman,27,65,Fourth,Hispanic,Female
51759,Marchman,28,301,Fourth,Hispanic,Male
51760,Marchman,18,45,Second,Hispanic,Male
51761,Marchman,30,530,Third,Black,Male
51762,Marchman,29,603,Second,Black,Male
51763,Marchman,29,201,Third,Hispanic,Female
51764,Marchman,23,25,Third,Other,Female
51765,Marchman,18,11,Second,Hispanic,Male
51766,Marchman,24,219,Seventh,Other,Female
51767,Marchman,29,338,Third,Hispanic,Female
51768,Marchman,25,220,Second,Black,Male
51769,Marchman,30,643,Third,Black,Male
51770,Marchman,25,229,Second,Hispanic,Male
51771,Marchman,21,264,Second,Black,Female
51772,Marchman,24,165,Second,Other,Female
51773,Marchman,28,320,Second,Other,Male
51774,Marchman,26,532,Fourth,Other,Male
51775,Marchman,29,44,Third,White,Female
51776,Marchman,21,13,Second,White,Male
51777,Marchman,23,535,Second,Other,Male
51778,Marchman,27,132,Third,Black,Male
51779,Marchman,25,671,Second,White,Female
51780,Marchman,20,20,Second,Asian,Female
51781,Marchman,28,193,Third,Other,Male
51782,Marchman,22,362,Third,White,Male
